ESTIMATED SAT PRACTICE TEST SCORE CONVERSION — EXAM 5

This is a difficulty-adjusted practice-test estimate, not an official College Board
raw-score conversion. Exam 1's linear 200–800 conversion is used as the baseline.
A conservative form-difficulty adjustment is applied and tapered toward 0 at the
minimum and maximum raw scores, then the result is rounded to the nearest 10 points.

READING AND WRITING DIFFICULTY: Moderately harder than Exam 1
Calibration adjustment: +10 points at the center of the raw-score range

READING AND WRITING (54 QUESTIONS)
Correct | Missed | Estimated Section Score
--------+--------+------------------------
     54 |      0 |                     800
     53 |      1 |                     790
     52 |      2 |                     780
     51 |      3 |                     770
     50 |      4 |                     760
     49 |      5 |                     750
     48 |      6 |                     740
     47 |      7 |                     730
     46 |      8 |                     720
     45 |      9 |                     710
     44 |     10 |                     690
     43 |     11 |                     680
     42 |     12 |                     670
     41 |     13 |                     660
     40 |     14 |                     650
     39 |     15 |                     640
     38 |     16 |                     630
     37 |     17 |                     620
     36 |     18 |                     610
     35 |     19 |                     600
     34 |     20 |                     590
     33 |     21 |                     580
     32 |     22 |                     570
     31 |     23 |                     550
     30 |     24 |                     540
     29 |     25 |                     530
     28 |     26 |                     520
     27 |     27 |                     510
     26 |     28 |                     500
     25 |     29 |                     490
     24 |     30 |                     480
     23 |     31 |                     470
     22 |     32 |                     450
     21 |     33 |                     440
     20 |     34 |                     430
     19 |     35 |                     420
     18 |     36 |                     410
     17 |     37 |                     400
     16 |     38 |                     390
     15 |     39 |                     370
     14 |     40 |                     360
     13 |     41 |                     350
     12 |     42 |                     340
     11 |     43 |                     330
     10 |     44 |                     320
      9 |     45 |                     310
      8 |     46 |                     290
      7 |     47 |                     280
      6 |     48 |                     270
      5 |     49 |                     260
      4 |     50 |                     250
      3 |     51 |                     240
      2 |     52 |                     220
      1 |     53 |                     210
      0 |     54 |                     200

MATH DIFFICULTY: Moderately harder than Exam 1
Calibration adjustment: +20 points at the center of the raw-score range

MATH (44 QUESTIONS)
Correct | Missed | Estimated Section Score
--------+--------+------------------------
     44 |      0 |                     800
     43 |      1 |                     790
     42 |      2 |                     780
     41 |      3 |                     760
     40 |      4 |                     750
     39 |      5 |                     740
     38 |      6 |                     730
     37 |      7 |                     720
     36 |      8 |                     700
     35 |      9 |                     690
     34 |     10 |                     680
     33 |     11 |                     670
     32 |     12 |                     650
     31 |     13 |                     640
     30 |     14 |                     630
     29 |     15 |                     610
     28 |     16 |                     600
     27 |     17 |                     590
     26 |     18 |                     570
     25 |     19 |                     560
     24 |     20 |                     550
     23 |     21 |                     530
     22 |     22 |                     520
     21 |     23 |                     510
     20 |     24 |                     490
     19 |     25 |                     480
     18 |     26 |                     460
     17 |     27 |                     450
     16 |     28 |                     440
     15 |     29 |                     420
     14 |     30 |                     410
     13 |     31 |                     390
     12 |     32 |                     380
     11 |     33 |                     370
     10 |     34 |                     350
      9 |     35 |                     340
      8 |     36 |                     320
      7 |     37 |                     310
      6 |     38 |                     290
      5 |     39 |                     280
      4 |     40 |                     260
      3 |     41 |                     250
      2 |     42 |                     230
      1 |     43 |                     220
      0 |     44 |                     200
